Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration
801001830,MNQM5,04/10/2025 01:23:58 -04:00,04/10/2025 01:31:56 -04:00,19060.000000000,19071.500000000,0.74000,23.000000000,1,Long,04/10/2025 00:00:00 -05:00,00:07:57.2823970
801001831,MNQM5,04/10/2025 01:24:20 -04:00,04/10/2025 01:31:56 -04:00,19063.000000000,19071.500000000,0.74000,17.000000000,1,Long,04/10/2025 00:00:00 -05:00,00:07:36.0084400
801001832,MNQM5,04/10/2025 01:24:28 -04:00,04/10/2025 01:31:56 -04:00,19063.000000000,19071.500000000,0.74000,17.000000000,1,Long,04/10/2025 00:00:00 -05:00,00:07:27.2080870
876253945,MNQM5,04/30/2025 10:11:55 -04:00,04/30/2025 10:13:54 -04:00,19208.500000000,19243.750000000,0.74000,-70.500000000,1,Short,04/30/2025 00:00:00 -05:00,00:01:58.6961060
950042209,MNQM5,05/20/2025 09:54:10 -04:00,05/20/2025 09:58:38 -04:00,21431.500000000,21391.000000000,0.74000,-81.000000000,1,Long,05/20/2025 00:00:00 -05:00,00:04:27.5097450
876368021,MNQM5,04/30/2025 10:15:04 -04:00,04/30/2025 10:22:20 -04:00,19257.250000000,19263.750000000,0.74000,13.000000000,1,Long,04/30/2025 00:00:00 -05:00,00:07:16.4109050
809142559,MNQM5,04/11/2025 10:19:03 -04:00,04/11/2025 10:24:01 -04:00,18448.250000000,18331.000000000,0.74000,234.500000000,1,Short,04/11/2025 00:00:00 -05:00,00:04:57.1924840
950096638,MNQM5,05/20/2025 09:59:39 -04:00,05/20/2025 10:01:09 -04:00,21396.250000000,21379.750000000,0.74000,-33.000000000,1,Long,05/20/2025 00:00:00 -05:00,00:01:30.1512990
876411361,MNQM5,04/30/2025 10:23:30 -04:00,04/30/2025 10:25:28 -04:00,19271.250000000,19276.000000000,0.74000,9.500000000,1,Long,04/30/2025 00:00:00 -05:00,00:01:57.4691590
1197592251,MNQU5,08/05/2025 09:41:36 -04:00,08/05/2025 09:49:37 -04:00,23358.750000000,23380.750000000,0.74000,44.000000000,1,Long,08/05/2025 00:00:00 -05:00,00:08:01.2327970
1197592252,MNQU5,08/05/2025 09:43:32 -04:00,08/05/2025 09:49:37 -04:00,23359.250000000,23380.750000000,0.74000,43.000000000,1,Long,08/05/2025 00:00:00 -05:00,00:06:05.4570790
876511474,MNQM5,04/30/2025 10:26:11 -04:00,04/30/2025 10:32:53 -04:00,19284.750000000,19319.250000000,0.74000,69.000000000,1,Long,04/30/2025 00:00:00 -05:00,00:06:42.5763900
950193568,MNQM5,05/20/2025 10:05:43 -04:00,05/20/2025 10:07:21 -04:00,21412.750000000,21382.250000000,0.74000,-61.000000000,1,Long,05/20/2025 00:00:00 -05:00,00:01:38.1978690
913954608,MNQM5,05/09/2025 09:30:51 -04:00,05/09/2025 09:52:26 -04:00,20252.000000000,20206.750000000,0.74000,-90.500000000,1,Long,05/09/2025 00:00:00 -05:00,00:21:35.2935820
913954610,MNQM5,05/09/2025 09:44:32 -04:00,05/09/2025 09:52:26 -04:00,20228.250000000,20206.750000000,0.74000,-43.000000000,1,Long,05/09/2025 00:00:00 -05:00,00:07:54.3345240
876601936,MNQM5,04/30/2025 10:34:22 -04:00,04/30/2025 10:39:38 -04:00,19338.000000000,19315.500000000,0.74000,-45.000000000,1,Long,04/30/2025 00:00:00 -05:00,00:05:15.8936040
876601937,MNQM5,04/30/2025 10:36:09 -04:00,04/30/2025 10:39:38 -04:00,19309.500000000,19315.500000000,0.74000,12.000000000,1,Long,04/30/2025 00:00:00 -05:00,00:03:29.0926980
876601938,MNQM5,04/30/2025 10:39:26 -04:00,04/30/2025 10:39:38 -04:00,19310.500000000,19315.500000000,0.74000,10.000000000,1,Long,04/30/2025 00:00:00 -05:00,00:00:11.5817750
1197708447,MNQU5,08/05/2025 09:50:58 -04:00,08/05/2025 09:56:01 -04:00,23368.250000000,23371.250000000,1.48000,12.000000000,2,Long,08/05/2025 00:00:00 -05:00,00:05:03.4395940
990508205,MNQM5,06/02/2025 10:25:14 -04:00,06/02/2025 10:38:57 -04:00,21362.750000000,21395.000000000,0.74000,64.500000000,1,Long,06/02/2025 00:00:00 -05:00,00:13:43.3101740
876682614,MNQM5,04/30/2025 10:39:51 -04:00,04/30/2025 10:44:54 -04:00,19311.500000000,19348.500000000,0.74000,74.000000000,1,Long,04/30/2025 00:00:00 -05:00,00:05:03.6707490
876682616,MNQM5,04/30/2025 10:42:32 -04:00,04/30/2025 10:44:54 -04:00,19288.250000000,19348.500000000,0.74000,120.500000000,1,Long,04/30/2025 00:00:00 -05:00,00:02:22.7415280
1197774564,MNQU5,08/05/2025 09:56:42 -04:00,08/05/2025 10:00:06 -04:00,23372.000000000,23397.000000000,0.74000,50.000000000,1,Long,08/05/2025 00:00:00 -05:00,00:03:23.6693400
1197774566,MNQU5,08/05/2025 09:58:45 -04:00,08/05/2025 10:00:06 -04:00,23374.500000000,23397.000000000,0.74000,45.000000000,1,Long,08/05/2025 00:00:00 -05:00,00:01:21.1408470
846760212,MNQM5,04/22/2025 21:18:47 -04:00,04/22/2025 21:29:55 -04:00,18708.750000000,18704.250000000,0.74000,9.000000000,1,Short,04/23/2025 00:00:00 -05:00,00:11:07.6105150
990717959,MNQM5,06/02/2025 11:01:52 -04:00,06/02/2025 11:03:54 -04:00,21406.250000000,21376.000000000,0.74000,-60.500000000,1,Long,06/02/2025 00:00:00 -05:00,00:02:01.5080050
876830259,MNQM5,04/30/2025 10:52:24 -04:00,04/30/2025 10:55:32 -04:00,19302.000000000,19307.500000000,0.74000,11.000000000,1,Long,04/30/2025 00:00:00 -05:00,00:03:07.9162870
876861079,MNQM5,04/30/2025 10:56:56 -04:00,04/30/2025 10:57:54 -04:00,19312.250000000,19338.500000000,0.74000,52.500000000,1,Long,04/30/2025 00:00:00 -05:00,00:00:57.6135110
1197896075,MNQU5,08/05/2025 10:04:02 -04:00,08/05/2025 10:05:12 -04:00,23341.750000000,23336.250000000,0.74000,11.000000000,1,Short,08/05/2025 00:00:00 -05:00,00:01:10.9175930
1184325765,MNQU5,07/31/2025 11:40:08 -04:00,07/31/2025 12:30:10 -04:00,23576.750000000,23602.500000000,0.74000,51.500000000,1,Long,07/31/2025 00:00:00 -05:00,00:50:01.5460460
1184325766,MNQU5,07/31/2025 11:50:46 -04:00,07/31/2025 12:30:10 -04:00,23562.000000000,23602.500000000,0.74000,81.000000000,1,Long,07/31/2025 00:00:00 -05:00,00:39:23.3386530
1184325767,MNQU5,07/31/2025 12:01:55 -04:00,07/31/2025 12:30:10 -04:00,23585.500000000,23602.500000000,1.48000,68.000000000,2,Long,07/31/2025 00:00:00 -05:00,00:28:14.3063300
859597033,MNQM5,04/25/2025 09:47:38 -04:00,04/25/2025 09:51:59 -04:00,19278.000000000,19265.750000000,0.74000,24.500000000,1,Short,04/25/2025 00:00:00 -05:00,00:04:20.7957900
792469476,MNQM5,04/08/2025 12:26:56 -04:00,04/08/2025 12:27:11 -04:00,17864.250000000,17875.250000000,0.74000,22.000000000,1,Long,04/08/2025 00:00:00 -05:00,00:00:15.1150480
1197991185,MNQU5,08/05/2025 10:09:20 -04:00,08/05/2025 10:10:11 -04:00,23332.000000000,23343.000000000,0.74000,-22.000000000,1,Short,08/05/2025 00:00:00 -05:00,00:00:51.3786970
